,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
0,221900.0,3,1.0,1180,5650,1.0,,0.0,3,7,1180,0.0,1955,0.0,98178,47.5112,-122.257,1340,5650
1,538000.0,3,2.25,2570,7242,2.0,0.0,0.0,3,7,2170,400.0,1951,2.0,98125,47.721000000000004,-122.319,1690,7639
2,180000.0,2,1.0,770,10000,1.0,0.0,0.0,3,6,770,0.0,1933,0.0,98028,47.7379,-122.23299999999999,2720,8062
3,604000.0,4,3.0,1960,5000,1.0,0.0,0.0,5,7,1050,910.0,1965,0.0,98136,47.5208,-122.39299999999999,1360,5000
4,510000.0,3,2.0,1680,8080,1.0,0.0,0.0,3,8,1680,0.0,1987,0.0,98074,47.6168,-122.045,1800,7503
5,1230000.0,4,4.5,5420,101930,1.0,0.0,0.0,3,11,3890,1530.0,2001,0.0,98053,47.6561,-122.005,4760,101930
6,257500.0,3,2.25,1715,6819,2.0,0.0,0.0,3,7,1715,0.0,1995,0.0,98003,47.3097,-122.32700000000001,2238,6819
7,291850.0,3,1.5,1060,9711,1.0,0.0,0.0,3,7,1060,0.0,1963,0.0,98198,47.4095,-122.315,1650,9711
8,229500.0,3,1.0,1780,7470,1.0,0.0,0.0,3,7,1050,730.0,1960,0.0,98146,47.5123,-122.337,1780,8113
9,323000.0,3,2.5,1890,6560,2.0,0.0,0.0,3,7,1890,0.0,2003,0.0,98038,47.3684,-122.031,2390,7570
10,662500.0,3,2.5,3560,9796,1.0,,0.0,3,8,1860,1700.0,1965,0.0,98007,47.6007,-122.145,2210,8925
11,468000.0,2,1.0,1160,6000,1.0,0.0,0.0,4,7,860,300.0,1942,0.0,98115,47.69,-122.292,1330,6000
12,310000.0,3,1.0,1430,19901,1.5,0.0,0.0,4,7,1430,0.0,1927,0.0,98028,47.7558,-122.229,1780,12697
13,400000.0,3,1.75,1370,9680,1.0,0.0,0.0,4,7,1370,0.0,1977,0.0,98074,47.6127,-122.045,1370,10208
14,530000.0,5,2.0,1810,4850,1.5,0.0,0.0,3,7,1810,0.0,1900,0.0,98107,47.67,-122.39399999999999,1360,4850
15,650000.0,4,3.0,2950,5000,2.0,0.0,3.0,3,9,1980,970.0,1979,0.0,98126,47.5714,-122.375,2140,4000
16,395000.0,3,2.0,1890,14040,2.0,0.0,0.0,3,7,1890,0.0,1994,0.0,98019,47.7277,-121.962,1890,14018
17,485000.0,4,1.0,1600,4300,1.5,0.0,0.0,4,7,1600,0.0,1916,0.0,98103,47.6648,-122.34299999999999,1610,4300
18,189000.0,2,1.0,1200,9850,1.0,0.0,0.0,4,7,1200,0.0,1921,0.0,98002,47.3089,-122.21,1060,5095
19,230000.0,3,1.0,1250,9774,1.0,0.0,0.0,4,7,1250,0.0,1969,0.0,98003,47.3343,-122.306,1280,8850
20,385000.0,4,1.75,1620,4980,1.0,0.0,0.0,4,7,860,760.0,1947,0.0,98133,47.7025,-122.34100000000001,1400,4980
21,2000000.0,3,2.75,3050,44867,1.0,0.0,4.0,3,9,2330,720.0,1968,0.0,98040,47.5316,-122.23299999999999,4110,20336
22,285000.0,5,2.5,2270,6300,2.0,0.0,0.0,3,8,2270,0.0,1995,0.0,98092,47.3266,-122.169,2240,7005
23,252700.0,2,1.5,1070,9643,1.0,,0.0,3,7,1070,0.0,1985,0.0,98030,47.3533,-122.166,1220,8386
24,329000.0,3,2.25,2450,6500,2.0,0.0,0.0,4,8,2450,0.0,1985,0.0,98030,47.3739,-122.17200000000001,2200,6865
25,233000.0,3,2.0,1710,4697,1.5,0.0,0.0,5,6,1710,0.0,1941,0.0,98002,47.3048,-122.21799999999999,1030,4705
26,937000.0,3,1.75,2450,2691,2.0,0.0,0.0,3,8,1750,700.0,1915,0.0,98119,47.6386,-122.36,1760,3573
27,667000.0,3,1.0,1400,1581,1.5,0.0,0.0,5,8,1400,0.0,1909,0.0,98112,47.6221,-122.314,1860,3861
28,438000.0,3,1.75,1520,6380,1.0,0.0,0.0,3,7,790,730.0,1948,0.0,98115,47.695,-122.304,1520,6235
29,719000.0,4,2.5,2570,7173,2.0,0.0,0.0,3,8,2570,0.0,2005,0.0,98052,47.7073,-122.11,2630,6026
30,580500.0,3,2.5,2320,3980,2.0,0.0,0.0,3,8,2320,0.0,2003,0.0,98027,47.5391,-122.07,2580,3980
31,280000.0,2,1.5,1190,1265,3.0,0.0,0.0,3,7,1190,0.0,2005,0.0,98133,47.7274,-122.35700000000001,1390,1756
32,687500.0,4,1.75,2330,5000,1.5,0.0,0.0,4,7,1510,820.0,1929,0.0,98117,47.6823,-122.368,1460,5000
33,535000.0,3,1.0,1090,3000,1.5,0.0,0.0,4,8,1090,0.0,1929,0.0,98117,47.6889,-122.375,1570,5080
34,322500.0,4,2.75,2060,6659,1.0,0.0,0.0,3,7,1280,780.0,1981,0.0,98058,47.4276,-122.15700000000001,2020,8720
35,696000.0,3,2.5,2300,3060,1.5,0.0,0.0,3,8,1510,790.0,1930,3.0,98115,47.6827,-122.31,1590,3264
36,550000.0,4,1.0,1660,34848,1.0,0.0,0.0,1,5,930,730.0,1933,0.0,98052,47.6621,-122.132,2160,11467
37,640000.0,4,2.0,2360,6000,2.0,0.0,0.0,4,8,2360,0.0,1904,0.0,98107,47.6702,-122.36200000000001,1730,4700
38,240000.0,4,1.0,1220,8075,1.0,0.0,0.0,2,7,890,330.0,1969,0.0,98001,47.3341,-122.28200000000001,1290,7800
39,605000.0,4,2.5,2620,7553,2.0,0.0,0.0,3,8,2620,0.0,1996,0.0,98056,47.5301,-122.18,2620,11884
40,625000.0,4,2.5,2570,5520,2.0,,0.0,3,9,2570,0.0,2000,0.0,98074,47.6145,-122.027,2470,5669
41,775000.0,4,2.25,4220,24186,1.0,0.0,0.0,3,8,2600,1620.0,1984,0.0,98166,47.445,-122.34700000000001,2410,30617
42,861990.0,5,2.75,3595,5639,2.0,0.0,0.0,3,9,3595,0.0,2014,0.0,98053,47.6848,-122.016,3625,5639
43,685000.0,3,1.0,1570,2280,2.0,0.0,0.0,3,7,1570,0.0,1922,0.0,98119,47.6413,-122.36399999999999,1580,2640
44,309000.0,3,1.0,1280,9656,1.0,0.0,0.0,4,6,920,360.0,1959,0.0,98058,47.4485,-122.175,1340,8808
45,488000.0,3,2.5,3160,13603,2.0,0.0,0.0,3,8,3160,0.0,2003,0.0,98019,47.7443,-121.977,3050,9232
46,210490.0,3,1.0,990,8528,1.0,0.0,0.0,3,6,990,0.0,1966,0.0,98023,47.3066,-122.37100000000001,1228,8840
47,785000.0,4,2.5,2290,13416,2.0,0.0,0.0,4,9,2290,0.0,1981,0.0,98007,47.6194,-122.15100000000001,2680,13685
48,450000.0,3,1.75,1250,5963,1.0,0.0,0.0,4,7,1250,0.0,1953,0.0,98115,47.6796,-122.301,970,5100
49,1350000.0,3,2.5,2753,65005,1.0,1.0,2.0,5,9,2165,588.0,1953,0.0,98070,47.4041,-122.45100000000001,2680,72513
50,228000.0,3,1.0,1190,9199,1.0,0.0,0.0,3,7,1190,0.0,1955,0.0,98148,47.4258,-122.322,1190,9364
51,345000.0,5,2.5,3150,9134,1.0,0.0,0.0,4,8,1640,1510.0,1966,0.0,98056,47.4934,-122.189,1990,9133
52,600000.0,3,1.75,1410,4080,1.0,0.0,0.0,4,7,1000,410.0,1950,0.0,98117,47.6808,-122.384,1410,4080
53,585000.0,2,1.75,1980,8550,1.0,0.0,0.0,3,7,990,990.0,1981,0.0,98117,47.6989,-122.369,1480,6738
54,920000.0,5,2.25,2730,6000,1.5,0.0,0.0,3,8,2130,600.0,1927,0.0,98105,47.6571,-122.281,2730,6000
55,885000.0,4,2.5,2830,5000,2.0,,0.0,3,9,2830,0.0,1995,0.0,98105,47.6597,-122.29,1950,5000
56,292500.0,4,2.5,2250,4495,2.0,0.0,0.0,3,7,2250,0.0,2008,0.0,98042,47.3663,-122.11399999999999,2250,4500
57,301000.0,3,2.5,2420,4750,2.0,0.0,0.0,3,8,2420,0.0,2003,0.0,98042,47.3663,-122.12200000000001,2690,4750
58,951000.0,5,3.25,3250,14342,2.0,0.0,4.0,4,8,3250,0.0,1968,0.0,98008,47.588,-122.116,2960,11044
59,430000.0,4,3.0,1850,9976,2.0,0.0,0.0,3,8,1850,0.0,1991,0.0,98059,47.5059,-122.149,2270,8542
60,650000.0,3,2.25,2150,21235,1.0,,3.0,4,8,1590,560.0,1959,0.0,98166,47.4336,-122.339,2570,18900
61,289000.0,3,1.75,1260,8400,1.0,0.0,0.0,3,7,1260,0.0,1954,0.0,98148,47.4366,-122.335,1290,8750
62,505000.0,3,1.75,2519,8690,2.0,,0.0,5,8,2519,0.0,1973,0.0,98166,47.4428,-122.344,2500,9500
63,549000.0,3,1.75,1540,1044,3.0,0.0,0.0,3,8,1540,0.0,2014,0.0,98115,47.6765,-122.32,1580,3090
64,425000.0,3,2.25,1660,6000,1.0,0.0,0.0,3,7,1110,550.0,1979,0.0,98122,47.6113,-122.29700000000001,1440,4080
65,317625.0,3,2.75,2770,3809,1.5,0.0,0.0,5,7,1770,1000.0,1925,0.0,98144,47.5747,-122.304,1440,4000
66,975000.0,4,2.5,2720,11049,2.0,,0.0,3,10,2720,0.0,1989,0.0,98004,47.5815,-122.19200000000001,2750,11049
67,287000.0,4,2.5,2240,4648,2.0,0.0,0.0,3,7,2240,0.0,2005,0.0,98001,47.3378,-122.257,2221,4557
68,204000.0,3,1.0,1000,12070,1.0,0.0,0.0,4,7,1000,0.0,1968,0.0,98042,47.3621,-122.11,1010,12635
69,1330000.0,5,2.25,3200,20158,1.0,0.0,0.0,3,8,1600,1600.0,1965,0.0,98004,47.6303,-122.215,3390,20158
70,1040000.0,5,3.25,4770,50094,1.0,0.0,0.0,4,11,3070,1700.0,1973,0.0,98005,47.6525,-122.16,3530,38917
71,325000.0,3,2.0,1260,5612,1.0,0.0,0.0,4,7,1260,0.0,1972,0.0,98034,47.7362,-122.179,1640,4745
72,571000.0,4,2.0,2750,7807,1.5,0.0,0.0,5,7,2250,500.0,1916,0.0,98125,47.7168,-122.287,1510,7807
73,360000.0,4,2.5,2380,5000,2.0,0.0,0.0,3,8,2380,0.0,2005,0.0,98038,47.3608,-122.036,2420,5000
74,349000.0,3,1.75,1790,50529,1.0,0.0,0.0,5,7,1090,700.0,1965,0.0,98042,47.3511,-122.073,1940,50529
75,832500.0,4,4.0,3430,35102,2.0,0.0,0.0,4,10,2390,1040.0,1986,0.0,98075,47.5822,-121.98700000000001,3240,35020
76,380000.0,4,1.75,1760,7300,1.0,0.0,0.0,3,7,880,880.0,1956,0.0,98008,47.6034,-122.125,1680,7500
77,480000.0,3,1.0,1040,5060,1.0,0.0,0.0,3,7,1040,0.0,1941,0.0,98116,47.5636,-122.39399999999999,890,5060
78,410000.0,3,1.0,1410,5060,1.0,0.0,0.0,4,7,910,500.0,1956,0.0,98133,47.7073,-122.34,1130,5693
79,720000.0,4,2.5,3450,39683,2.0,0.0,0.0,3,10,3450,0.0,2002,0.0,98010,47.342,-122.025,3350,39750
80,390000.0,3,2.5,2350,5100,2.0,0.0,0.0,3,8,2350,0.0,2003,0.0,98038,47.3512,-122.008,2350,5363
81,360000.0,4,2.5,1900,5889,2.0,0.0,0.0,3,7,1900,0.0,1992,0.0,98038,47.349,-122.031,1870,6405
82,355000.0,2,1.0,2020,6720,1.0,0.0,0.0,3,7,1010,1010.0,1948,0.0,98118,47.5474,-122.291,1720,6720
83,356000.0,3,1.5,1680,8712,1.0,0.0,0.0,3,8,1680,0.0,1964,0.0,98059,47.4811,-122.149,1850,8797
84,315000.0,3,1.0,960,6634,1.0,0.0,0.0,3,6,960,0.0,1952,0.0,98125,47.7264,-122.31,1570,7203
85,940000.0,3,1.5,2140,3600,2.0,0.0,0.0,3,9,1900,240.0,1925,0.0,98119,47.6337,-122.365,2020,4800
86,305000.0,5,2.25,2660,8400,1.5,0.0,0.0,5,7,2660,0.0,1961,0.0,98092,47.2909,-122.189,1590,8165
87,461000.0,3,3.25,2770,6278,2.0,,0.0,3,9,1980,790.0,2006,0.0,98056,47.5228,-122.199,1900,7349
88,215000.0,2,2.25,1610,2040,2.0,0.0,0.0,4,7,1610,0.0,1979,0.0,98056,47.518,-122.194,1950,2025
89,335000.0,2,1.75,1030,1066,2.0,0.0,0.0,3,7,765,265.0,2006,0.0,98136,47.5394,-122.387,1030,1106
90,243500.0,4,2.5,1980,7403,2.0,0.0,0.0,3,7,1980,0.0,1988,0.0,98023,47.2897,-122.37200000000001,1980,7510
91,1100000.0,5,2.75,3520,6353,2.0,0.0,0.0,4,10,3520,0.0,2001,0.0,98199,47.6506,-122.391,2520,6250
92,153000.0,3,1.0,1200,10500,1.0,0.0,0.0,3,7,1200,0.0,1962,0.0,98023,47.321999999999996,-122.351,1350,10500
93,430000.0,3,1.5,1580,5000,1.0,0.0,0.0,3,8,1290,290.0,1939,0.0,98117,47.687,-122.38600000000001,1570,4500
94,700000.0,3,1.5,1580,5000,1.0,0.0,0.0,3,8,1290,290.0,1939,0.0,98117,47.687,-122.38600000000001,1570,4500
95,905000.0,4,2.5,3300,10250,1.0,0.0,0.0,3,7,2390,910.0,1946,2.0,98040,47.5873,-122.249,1950,6045
96,247500.0,3,1.75,1960,15681,1.0,0.0,0.0,3,7,1960,0.0,1967,0.0,98032,47.3576,-122.277,1750,15616
97,199000.0,4,1.5,1160,6400,1.0,0.0,0.0,4,7,1160,0.0,1975,0.0,98023,47.3036,-122.37799999999999,1160,6400
