,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
0,221900.0,3.0,1.0,1180.0,5650.0,1.0,,0.0,3.0,7.0,1180.0,0.0,1955.0,0.0,98178.0,47.5112,-122.257,1340.0,5650.0
1,538000.0,3.0,2.25,2570.0,7242.0,2.0,0.0,0.0,3.0,7.0,2170.0,400.0,1951.0,2.0,98125.0,47.721000000000004,-122.319,1690.0,7639.0
2,180000.0,2.0,1.0,770.0,10000.0,1.0,0.0,0.0,3.0,6.0,770.0,0.0,1933.0,0.0,98028.0,47.7379,-122.23299999999999,2720.0,8062.0
3,604000.0,4.0,3.0,1960.0,5000.0,1.0,0.0,0.0,5.0,7.0,1050.0,910.0,1965.0,0.0,98136.0,47.5208,-122.39299999999999,1360.0,5000.0
4,510000.0,3.0,2.0,1680.0,8080.0,1.0,0.0,0.0,3.0,8.0,1680.0,0.0,1987.0,0.0,98074.0,47.6168,-122.045,1800.0,7503.0
5,1230000.0,4.0,4.5,5420.0,101930.0,1.0,0.0,0.0,3.0,11.0,3890.0,1530.0,2001.0,0.0,98053.0,47.6561,-122.005,4760.0,101930.0
6,257500.0,3.0,2.25,1715.0,6819.0,2.0,0.0,0.0,3.0,7.0,1715.0,0.0,1995.0,0.0,98003.0,47.3097,-122.32700000000001,2238.0,6819.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,229500.0,3.0,1.0,1780.0,7470.0,1.0,0.0,0.0,3.0,7.0,1050.0,730.0,1960.0,0.0,98146.0,47.5123,-122.337,1780.0,8113.0
9,323000.0,3.0,2.5,1890.0,6560.0,2.0,0.0,0.0,3.0,7.0,1890.0,0.0,2003.0,0.0,98038.0,47.3684,-122.031,2390.0,7570.0
10,662500.0,3.0,2.5,3560.0,9796.0,1.0,,0.0,3.0,8.0,1860.0,1700.0,1965.0,0.0,98007.0,47.6007,-122.145,2210.0,8925.0
11,468000.0,2.0,1.0,1160.0,6000.0,1.0,0.0,0.0,4.0,7.0,860.0,300.0,1942.0,0.0,98115.0,47.69,-122.292,1330.0,6000.0
12,310000.0,3.0,1.0,1430.0,19901.0,1.5,0.0,0.0,4.0,7.0,1430.0,0.0,1927.0,0.0,98028.0,47.7558,-122.229,1780.0,12697.0
13,400000.0,3.0,1.75,1370.0,9680.0,1.0,0.0,0.0,4.0,7.0,1370.0,0.0,1977.0,0.0,98074.0,47.6127,-122.045,1370.0,10208.0
14,530000.0,5.0,2.0,1810.0,4850.0,1.5,0.0,0.0,3.0,7.0,1810.0,0.0,1900.0,0.0,98107.0,47.67,-122.39399999999999,1360.0,4850.0
15,650000.0,4.0,3.0,2950.0,5000.0,2.0,0.0,3.0,3.0,9.0,1980.0,970.0,1979.0,0.0,98126.0,47.5714,-122.375,2140.0,4000.0
16,395000.0,3.0,2.0,1890.0,14040.0,2.0,0.0,0.0,3.0,7.0,1890.0,0.0,1994.0,0.0,98019.0,47.7277,-121.962,1890.0,14018.0
17,485000.0,4.0,1.0,1600.0,4300.0,1.5,0.0,0.0,4.0,7.0,1600.0,0.0,1916.0,0.0,98103.0,47.6648,-122.34299999999999,1610.0,4300.0
18,189000.0,2.0,1.0,1200.0,9850.0,1.0,0.0,0.0,4.0,7.0,1200.0,0.0,1921.0,0.0,98002.0,47.3089,-122.21,1060.0,5095.0
19,230000.0,3.0,1.0,1250.0,9774.0,1.0,0.0,0.0,4.0,7.0,1250.0,0.0,1969.0,0.0,98003.0,47.3343,-122.306,1280.0,8850.0
20,385000.0,4.0,1.75,1620.0,4980.0,1.0,0.0,0.0,4.0,7.0,860.0,760.0,1947.0,0.0,98133.0,47.7025,-122.34100000000001,1400.0,4980.0
21,2000000.0,3.0,2.75,3050.0,44867.0,1.0,0.0,4.0,3.0,9.0,2330.0,720.0,1968.0,0.0,98040.0,47.5316,-122.23299999999999,4110.0,20336.0
22,285000.0,5.0,2.5,2270.0,6300.0,2.0,0.0,0.0,3.0,8.0,2270.0,0.0,1995.0,0.0,98092.0,47.3266,-122.169,2240.0,7005.0
23,252700.0,2.0,1.5,1070.0,9643.0,1.0,,0.0,3.0,7.0,1070.0,0.0,1985.0,0.0,98030.0,47.3533,-122.166,1220.0,8386.0
