,Unnamed: 0,ADDRESS,zipcode,price,bedrooms,bathrooms,sqft_living,yr_built,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),lat,long,year,predict,predicton_diff
120,120,8521 143rd Ct NE,98052,1225000,5,2.5,3460.0,1998.0,http://www.redfin.com/WA/Redmond/8521-143rd-Ct-NE-98052/home/511751,47.6791576,-122.1493571,2019,1225060.1028068145,-60.10280681448057
221,221,4412 S Spencer,98118,405337,3,1.0,820.0,1958.0,http://www.redfin.com/WA/Seattle/4412-S-Spencer-St-98118/home/173477,47.5476032,-122.2775461,2019,406307.7532208855,-970.7532208855264
331,331,1321 Seneca St #1004,98101,560000,1,0.75,648.0,2016.0,http://www.redfin.com/WA/Seattle/1321-Seneca-St-98101/unit-1004/home/103782586,47.6118651,-122.3231225,2019,562631.2832572149,-2631.2832572149346
307,307,206 Oakesdale Ave SW,98057,494950,3,2.5,1920.0,1988.0,http://www.redfin.com/WA/Renton/206-Oakesdale-Ave-SW-98057/home/196616,47.481748,-122.2309833,2019,499743.67384734465,-4793.673847344646
236,236,11633 Rainier Ave S,98178,445000,3,1.75,1330.0,1945.0,http://www.redfin.com/WA/Seattle/11633-Rainier-Ave-S-98178/home/198465,47.4982482,-122.2206018,2019,452559.5358251835,-7559.535825183499
275,275,9215 9th Ave NW,98117,900000,5,2.0,2560.0,1924.0,http://www.redfin.com/WA/Seattle/9215-9th-Ave-NW-98117/home/101441,47.6965609,-122.3689133,2019,908612.0642287068,-8612.06422870676
153,153,4233 S 273rd Pl,98001,475000,5,2.75,2510.0,1987.0,http://www.redfin.com/WA/Auburn/4233-S-273rd-Pl-98001/home/208599,47.3563781,-122.2795412,2019,486116.5884584645,-11116.588458464481
23,23,30613 134th Ave SE,98092,579990,4,2.5,2876.0,2014.0,http://www.redfin.com/WA/Auburn/30613-134th-Ave-SE-98092/home/40089433,47.32669420000001,-122.1632219,2019,591344.4731891654,-11354.47318916535
189,189,126 SW 116th St Unit E14,98146,245000,2,1.0,903.0,1982.0,http://www.redfin.com/WA/Seattle/126-SW-116th-St-98146/unit-E14/home/49110,47.4995711,-122.33534070000002,2019,257560.04905542653,-12560.049055426527
235,235,23709 228th Pl SE #107,98038,704950,4,3.0,3017.0,2020.0,http://www.redfin.com/WA/Maple-Valley/23709-228th-Pl-SE-98038/unit-107/home/170155012,47.3887,-122.035,2019,718092.0761605118,-13142.076160511817
83,83,2810 216th Ave SE,98075,925000,4,2.5,2210.0,1993.0,http://www.redfin.com/WA/Sammamish/2810-216th-Ave-SE-98075/home/434405,47.5830041,-122.05118020000002,2019,938693.5926406302,-13693.592640630202
241,241,16713 N Park Ave N,98133,449950,3,1.75,1060.0,1952.0,http://www.redfin.com/WA/Shoreline/16713-N-Park-Ave-N-98133/home/80772,47.7509949,-122.34981670000002,2019,464060.21479852655,-14110.214798526547
261,261,19933 SE 353rd St,98092,630000,4,2.5,2500.0,1977.0,http://www.redfin.com/WA/Auburn/19933-SE-353rd-St-98092/home/380522,47.28481770000001,-122.0760101,2019,645213.4789881597,-15213.47898815968
130,130,26402 Manchester Ave,98032,475000,5,2.25,2720.0,1963.0,http://www.redfin.com/WA/Kent/26402-Manchester-Ave-98032/home/208112,47.36507329999999,-122.2877678,2019,490240.9610261031,-15240.96102610312
200,200,23111 NE 8th St Unit 1 (D),98074,764900,3,2.25,2064.0,2019.0,http://www.redfin.com/WA/Sammamish/23111-NE-8th-St-98074/unit-1-D/home/170170349,47.6164933,-122.0305392,2019,781664.7488949904,-16764.748894990422
16,16,2929 1st Ave #422,98121,675000,2,1.75,1128.0,2000.0,http://www.redfin.com/WA/Seattle/2929-1st-Ave-98121/unit-422/home/11353,47.617218,-122.3536221,2019,692930.5980823349,-17930.59808233485
131,131,5705 NE 197th St,98028,625000,4,2.5,2100.0,1967.0,http://www.redfin.com/WA/Kenmore/5705-NE-197th-St-98028/home/93016,47.7712899,-122.2683167,2019,643720.4314765837,-18720.431476583704
97,97,1500 S 18th St Unit D201,98055,309900,2,1.75,1068.0,1999.0,http://www.redfin.com/WA/Renton/1500-S-18th-St-98055/unit-D201/home/41633,47.4646114,-122.1976476,2019,330229.8418941582,-20329.84189415822
35,35,13331 SE 194th Ct,98058,515000,3,2.75,2210.0,1988.0,http://www.redfin.com/WA/Renton/13331-SE-194th-Ct-98058/home/221615,47.4289301,-122.1626402,2019,536480.8864909775,-21480.886490977486
128,128,2108 S 375th St,98003,475000,4,2.75,2450.0,1993.0,http://www.redfin.com/WA/Federal-Way/2108-S-375th-St-98003/home/366224,47.26649570000001,-122.30677,2019,497218.925862263,-22218.925862263015
166,166,116 Palisades Pl,98047,524950,4,2.5,2557.0,2019.0,http://www.redfin.com/WA/Auburn/116-Palisades-PL-98047/home/170187035,47.261563,-122.250014,2019,547624.9913093558,-22674.991309355828
167,167,121 Palisades Pl,98047,524950,4,2.5,2557.0,2019.0,http://www.redfin.com/WA/Auburn/121-Palisades-PL-98047/home/170187012,47.261563,-122.250014,2019,547624.9913093558,-22674.991309355828
248,248,5317 S Roxbury St,98118,450000,3,1.0,1970.0,1907.0,http://www.redfin.com/WA/Seattle/5317-S-Roxbury-St-98118/home/176277,47.5167015,-122.2658079,2019,473089.5907847924,-23089.59078479238
136,136,28862 38th Ave S,98001,399950,4,1.75,2100.0,1962.0,http://www.redfin.com/WA/Auburn/28862-38th-Ave-S-98001/home/211176,47.3416595,-122.2853173,2019,425109.2502346166,-25159.25023461657
38,38,22997 Marine View Dr S Unit D102,98198,258000,2,1.0,793.0,1969.0,http://www.redfin.com/WA/Des-Moines/22997-Marine-View-Dr-S-98198/unit-D102/home/28443,47.3957636,-122.3240228,2019,283671.7856302675,-25671.78563026752
205,205,7002 S 116th St,98178,249900,2,1.0,670.0,1944.0,http://www.redfin.com/WA/Seattle/7002-S-116th-St-98178/home/197896,47.49919000000001,-122.247367,2019,276605.4307915591,-26705.430791559105
243,243,6704 S 239th Pl Unit B-102,98032,295000,3,2.5,1305.0,1994.0,http://www.redfin.com/WA/Kent/6704-S-239th-Pl-98032/unit-B102/home/30893,47.3872475,-122.2507065,2019,323035.00484117423,-28035.004841174232
168,168,3545 Wallingford Ave N,98103,849950,2,1.75,1476.0,2019.0,http://www.redfin.com/WA/Seattle/3545-Wallingford-Ave-N-98103/home/160513933,47.65012700000001,-122.33661399999998,2019,878371.9942154035,-28421.99421540345
37,37,13721 Greenwood Ave N Unit B,98133,449950,2,2.5,1070.0,2008.0,http://www.redfin.com/WA/Seattle/13721-Greenwood-Ave-N-98133/unit-B/home/21883741,47.72929,-122.356107,2019,481346.83121349674,-31396.831213496742
11,11,20815 120th Pl SE,98031,445000,5,2.0,2560.0,1963.0,http://www.redfin.com/WA/Kent/20815-120th-Pl-SE-98031/home/221144,47.4152467,-122.1810848,2019,477003.14950158785,-32003.149501587846
159,159,2040 Westlake Ave N,98109,750000,2,0.75,923.0,1984.0,http://www.redfin.com/WA/Seattle/2040-Westlake-Ave-N-98109/home/17065732,47.6374167,-122.3398882,2019,782531.0911411039,-32531.091141103883
152,152,32824 5th Ave,98010,435000,3,2.5,1968.0,1914.0,http://www.redfin.com/WA/Black-Diamond/32824-5th-Ave-98010/home/379531,47.3068174,-121.99989270000002,2019,471062.4534261069,-36062.45342610689
142,142,3656 36th Ave S,98144,645000,3,1.75,1459.0,2014.0,http://www.redfin.com/WA/Seattle/3656-36th-Ave-S-98144/home/69357069,47.5699099,-122.2881188,2019,681916.9569604641,-36916.95696046413
25,25,175 Sunset Ct NW,98027,699000,3,2.5,1869.0,2001.0,http://www.redfin.com/WA/Issaquah/175-Sunset-Ct-NW-98027/home/421913,47.5320836,-122.0466748,2019,737002.5351116164,-38002.535111616366
31,31,18930 Ballinger Way NE,98155,625000,3,1.75,2270.0,1950.0,http://www.redfin.com/WA/Lake-Forest-Park/18930-Ballinger-Way-NE-98155/home/91175,47.7662521,-122.29659479999998,2019,663599.9892463699,-38599.98924636992
278,278,2960 SW Raymond St #304,98126,425000,2,1.75,1039.0,2007.0,http://www.redfin.com/WA/Seattle/2960-SW-Raymond-St-98126/unit-304/home/17064893,47.548645,-122.3694526,2019,464217.86729088216,-39217.86729088216
298,298,15625 42 Ave S #5,98188,230000,2,1.5,904.0,1980.0,http://www.redfin.com/WA/Tukwila/15625-42nd-Ave-S-98188/unit-5/home/724,47.46259660000001,-122.2816191,2019,269778.92171312263,-39778.92171312263
