,ADDRESS,zipcode,price,bedrooms,bathrooms,sqft_living,yr_built,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),lat,long
0,14836 SE 16th St #15,98007,530000,3,2.5,1430.0,1969.0,http://www.redfin.com/WA/Bellevue/14836-SE-16th-St-98007/unit-15/home/55002,47.5968236,-122.1410473
1,155 Olympic Way,98030,525000,5,2.75,3060.0,1966.0,http://www.redfin.com/WA/Kent/155-Olympic-Way-98030/home/397693,47.3813742,-122.2234713
2,24328 114th Pl SE,98030,599950,4,2.5,2530.0,2012.0,http://www.redfin.com/WA/Kent/24328-114th-Pl-SE-98030/home/44653806,47.383483899999995,-122.18825849999999
3,7542 NE 204th Pl,98028,710000,4,2.5,2210.0,2003.0,http://www.redfin.com/WA/Kenmore/7542-NE-204th-Pl-98028/home/282926,47.776688,-122.2392024
4,2115 57th St SE,98092,474950,3,2.5,2242.0,2013.0,http://www.redfin.com/WA/Auburn/2115-57th-St-SE-98092/home/28582319,47.2581138,-122.20166850000001
5,9950 229th Ln NE,98053,1150000,4,2.5,3044.0,2003.0,http://www.redfin.com/WA/Redmond/9950-229th-Ln-NE-98053/home/443736,47.6888795,-122.0356841
6,4111 Whitman Ave N #205,98103,425000,2,1.0,695.0,1947.0,http://www.redfin.com/WA/Seattle/4111-Whitman-Ave-N-98103/unit-205/home/2066243,47.6570599,-122.3463338
7,9039 NE Juanita Dr #307,98034,590000,2,2.5,1360.0,1986.0,http://www.redfin.com/WA/Kirkland/9039-NE-Juanita-Dr-98034/unit-307/home/72788,47.7043581,-122.2199275
8,2440 Western Ave #707,98121,625000,2,1.75,885.0,1998.0,http://www.redfin.com/WA/Seattle/2440-Western-Ave-98121/unit-707/home/170075512,47.613927399999994,-122.34917800000001
9,21520 129th Ave SE,98031,574950,5,2.5,2560.0,1990.0,http://www.redfin.com/WA/Kent/21520-129th-Ave-SE-98031/home/224373,47.4089242,-122.16986429999999
10,18 Dravus St #302,98109,437000,1,1.0,716.0,1999.0,http://www.redfin.com/WA/Seattle/18-Dravus-St-98109/unit-302/home/51536,47.6488661,-122.3568176
11,20815 120th Pl SE,98031,445000,5,2.0,2560.0,1963.0,http://www.redfin.com/WA/Kent/20815-120th-Pl-SE-98031/home/221144,47.4152467,-122.1810848
12,114 16th Ave Unit A,98122,785000,3,1.75,1360.0,2017.0,http://www.redfin.com/WA/Seattle/114-16th-Ave-98122/unit-A/home/113703717,47.6022096,-122.31152490000001
13,4106 Factoria Blvd SE #305,98006,450000,2,1.75,1114.0,1984.0,http://www.redfin.com/WA/Bellevue/4106-Factoria-Blvd-SE-98006/unit-305/home/103961133,47.572711600000005,-122.1675669
