,url,lat,long,zipcode,bedrooms,bathrooms,sqft,price
0,/homedetails/4911-NE-Laurelcrest-Ln-Seattle-WA-98105/48928981_zpid/,47.653084,-122.275773,98105,7.0,9.0,9590.0,13750000.0
1,/homedetails/6602-123rd-Ave-NE-Kirkland-WA-98033/48704108_zpid/,47.664966,-122.17516,98033,4.0,2.0,1686.0,925000.0
2,/homedetails/7351-19th-Ave-NE-Seattle-WA-98115/49143391_zpid/,47.682788,-122.308074,98115,4.0,2.0,1660.0,799900.0
3,/homedetails/352-N-80th-St-Seattle-WA-98103/48995894_zpid/,47.687164,-122.352949,98103,2.0,2.0,1050.0,545000.0
4,/homedetails/308-E-Republican-St-APT-512-Seattle-WA-98102/2081742353_zpid/,47.62323,-122.32687,98102,1.0,1.0,732.0,345000.0
5,/homedetails/23232-26th-Ave-S-Des-Moines-WA-98198/48770509_zpid/,47.392834,-122.299826,98198,4.0,2.0,1910.0,349950.0
6,/homedetails/2040-Westlake-Ave-N-Seattle-WA-98109/2103278623_zpid/,47.637384,-122.339657,98109,2.0,1.0,923.0,750000.0
7,/homedetails/11714-SE-65th-St-Bellevue-WA-98006/48978660_zpid/,47.545199,-122.183726,98006,3.0,,2000.0,798800.0
8,/homedetails/2903-124th-Ave-NE-Bellevue-WA-98005/48742036_zpid/,47.635945,-122.173301,98005,4.0,3.0,2230.0,1559000.0
9,/homedetails/3203-S-Lane-St-Seattle-WA-98144/48940505_zpid/,47.596424,-122.291102,98144,4.0,4.0,3200.0,1750000.0
10,/homedetails/6215-122nd-Ave-SE-Bellevue-WA-98006/48979580_zpid/,47.54715,-122.177585,98006,4.0,3.0,2470.0,775000.0
11,/homedetails/1214-Warren-Ave-N-Seattle-WA-98109/48851503_zpid/,47.63023,-122.353836,98109,4.0,10.0,9970.0,11000000.0
12,/homedetails/16639-SE-26th-Pl-Bellevue-WA-98008/49068790_zpid/,47.586151,-122.117167,98008,4.0,3.0,2300.0,899000.0
13,/homedetails/635-NW-79th-St-Seattle-WA-98117/49042115_zpid/,47.685972,-122.364869,98117,4.0,1.0,2340.0,749900.0
14,/homedetails/10060-38th-Ave-NE-Seattle-WA-98125/49135117_zpid/,47.702776,-122.287668,98125,4.0,3.0,1920.0,925000.0
15,/homedetails/31712-42nd-Ave-SW-Federal-Way-WA-98023/49100581_zpid/,47.317255,-122.385443,98023,3.0,1.75,2870.0,439999.0
16,/homedetails/13249-6th-Ave-NW-Seattle-WA-98177/48695234_zpid/,47.726819,-122.364035,98177,5.0,3.0,3850.0,1485000.0
17,/homedetails/7343-19th-Ave-NE-Seattle-WA-98115/49143393_zpid/,47.682521,-122.30811,98115,3.0,3.0,1710.0,900000.0
18,/homedetails/728-N-80th-St-Seattle-WA-98103/48995768_zpid/,47.687163,-122.348625,98103,3.0,2.0,1610.0,689000.0
19,/homedetails/2247-Evergreen-Point-Rd-Medina-WA-98039/49118807_zpid/,47.631648,-122.240773,98039,4.0,7.0,10755.0,25500000.0
20,/homedetails/11620-SE-45th-Pl-Bellevue-WA-98006/48912427_zpid/,47.565346,-122.182813,98006,3.0,4.0,3532.0,988000.0
21,/homedetails/421-W-Highland-Dr-Seattle-WA-98119/48753389_zpid/,47.629297,-122.362771,98119,5.0,7.0,7900.0,7990000.0
22,/homedetails/21819-12th-Ave-S-Des-Moines-WA-98198/49105849_zpid/,47.405781,-122.318318,98198,4.0,2.0,1650.0,375000.0
23,/homedetails/20999-NE-15th-St-Sammamish-WA-98074/2081593862_zpid/,47.622217,-122.060228,98074,6.0,4.0,3501.0,1198000.0
24,/homedetails/11612-NE-97th-St-Kirkland-WA-98033/48789831_zpid/,47.688424,-122.185308,98033,3.0,3.0,1610.0,950000.0
25,/homedetails/2122-S-371st-St-Federal-Way-WA-98003/49022526_zpid/,47.269332,-122.306582,98003,4.0,3.0,2760.0,499950.0
26,/homedetails/28862-38th-Ave-S-Auburn-WA-98001/48720077_zpid/,47.341664,-122.285266,98001,4.0,2.0,2100.0,399950.0
27,/homedetails/2810-216th-Ave-SE-Sammamish-WA-98075/48695842_zpid/,47.582956,-122.051197,98075,4.0,3.0,2210.0,925000.0
28,/homedetails/19234-127th-Ave-NE-Bothell-WA-98011/122181982_zpid/,47.766492,-122.17163,98011,2.0,2.0,1152.0,299500.0
29,/homedetails/13901-Somerset-Ln-SE-Bellevue-WA-98006/49062100_zpid/,47.564863,-122.154992,98006,3.0,3.0,2840.0,990000.0
30,/homedetails/9206-157th-Pl-NE-Redmond-WA-98052/2090392488_zpid/,47.684045,-122.129986,98052,3.0,3.0,1470.0,715000.0
31,/homedetails/35907-14th-Pl-S-Federal-Way-WA-98003/48981423_zpid/,47.279657,-122.31544,98003,3.0,2.0,1960.0,325000.0
32,/homedetails/8634-NE-137th-St-Kirkland-WA-98034/49089159_zpid/,47.723044,-122.225661,98034,5.0,2.0,2190.0,819888.0
33,/homedetails/7518-151st-Ave-NE-Redmond-WA-98052/48995627_zpid/,47.67209,-122.138643,98052,3.0,2.0,960.0,625000.0
34,/homedetails/3641-134th-Ave-NE-Bellevue-WA-98005/48788076_zpid/,47.64364,-122.16283,98005,5.0,5.5,7435.0,4498000.0
35,/homedetails/3406-W-Government-Way-APT-2-Seattle-WA-98199/48948562_zpid/,47.659195,-122.401539,98199,2.0,2.0,950.0,429000.0
36,/homedetails/13208-412th-Way-SE-North-Bend-WA-98045/48746411_zpid/,47.480902,-121.787726,98045,3.0,3.0,2246.0,399000.0
